SampleID,Vaccine,Challenge,Vaccine_Booster_Route,day_post_vaccination,day_post_challenge,sample,CFU_D-1,CFU_D2,CFU_D7,CFU_D10,CFU_D14,CFU_D21
neg_plate1,neg_plate1,neg_plate1,neg_plate1,,,,,,,,,
Minfantis_D10_1,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_2,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_3,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_4,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_5,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_6,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_7,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_8,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_9,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_10,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
mock_plate1,mock_plate1,mock_plate1,mock_plate1,,,,,,,,,
Minfantis_D10_11,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_12,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
Minfantis_D10_13,Mock,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_1,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_2,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_3,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_4,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_5,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_6,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_7,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_8,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_9,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_10,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_11,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
BBS866_OO_D10_12,BBS866,Infantis,oral_oral,61,10,cecal_content,,,,,,
