turkey_ID	Room	Vaccine	Day	dillution	CFU	log10_CFU
1	3C9	mock	10	enrich.	11	1.041392685158225
2	3C9	mock	10	enrich.	9	0.9542425094393249
3	3C9	mock	10	1	20	1.3010299956639813
4	3C9	mock	10	1	20	1.3010299956639813
5	3C9	mock	10	1	260	2.4149733479708178
6	3C9	mock	10	enrich.	10	1
7	3C9	mock	10	enrich.	16	1.2041199826559248
8	3C9	mock	10	10	8000	3.9030899869919438
9	3C9	mock	10	enrich.	12	1.0791812460476249
10	3C9	mock	10	1	160	2.204119982655925
11	3C9	mock	10	enrich.	8	0.9030899869919435
12	3C9	mock	10	enrich.	7	0.8450980400142568
13	3C9	mock	10	1	200	2.3010299956639813
1	3C10	866	10	10	400	2.6020599913279625
2	3C10	866	10	10	600	2.7781512503836434
3	3C10	866	10	10	400	2.6020599913279625
4	3C10	866	10	10	200	2.3010299956639813
5	3C10	866	10	10	7200	3.8573324964312685
6	3C10	866	10	enrich.	19	1.2787536009528289
7	3C10	866	10	1	20	1.3010299956639813
8	3C10	866	10	10	1200	3.0791812460476247
9	3C10	866	10	10	2800	3.4471580313422194
10	3C10	866	10	1	40	1.6020599913279625
11	3C10	866	10	10	400	2.6020599913279625
12	3C10	866	10	enrich.	15	1.1760912590556813
13	3C10	866	10	10	1600	3.204119982655925
14	3C10	866	10	10	400	2.6020599913279625
1	3C11	AviPro	10	10	1000	3
2	3C11	AviPro	10	10	5200	3.716003343634799
3	3C11	AviPro	10	100	96000	4.982271233039568
4	3C11	AviPro	10	100	56000	4.748188027006201
5	3C11	AviPro	10	10	3000	3.4771212547196626
6	3C11	AviPro	10	1	20	1.3010299956639813
7	3C11	AviPro	10	1	20	1.3010299956639813
8	3C11	AviPro	10	1	700	2.845098040014257
9	3C11	AviPro	10	10	1800	3.255272505103306
10	3C11	AviPro	10	10	2000	3.3010299956639813
11	3C11	AviPro	10	1	500	2.6989700043360187
12	3C11	AviPro	10	10	800	2.9030899869919438
13	3C11	AviPro	10	100	292000	5.465382851448418
14	3C11	AviPro	10	1	420	2.6232492903979003
