sample_ID	input	filtered	denoisedF	denoisedR	merged	nonchim
Avipro-OO-D-1-1	25725	24356	24327	24343	23775	23152
Avipro-OO-D-1-10	34973	33348	33236	33285	31795	28593
Avipro-OO-D-1-2	20839	19757	19680	19714	19018	17184
Avipro-OO-D-1-3	34188	32448	32365	32409	31683	29962
Avipro-OO-D-1-4	45000	42911	42814	42847	41726	38936
Avipro-OO-D-1-5	21049	19997	19977	19980	19548	18819
Avipro-OO-D-1-6	29505	27894	27820	27875	26876	24678
Avipro-OO-D-1-7	25442	24096	24035	24064	23108	21284
Avipro-OO-D-1-8	30737	28944	28898	28928	27909	26091
Avipro-OO-D-1-9	41056	38739	38651	38693	37404	35273
Avipro-OO-D10-1	40850	37722	37574	37655	36231	32983
Avipro-OO-D10-10	27669	26025	25976	26001	25187	23803
Avipro-OO-D10-11	20769	19000	18971	18990	18213	17259
Avipro-OO-D10-12	19033	17819	17716	17778	17009	15351
Avipro-OO-D10-13	42082	39705	39575	39630	37925	34241
Avipro-OO-D10-14	23351	21721	21676	21688	20950	19471
Avipro-OO-D10-2	30214	28410	28336	28370	27541	25494
Avipro-OO-D10-3	32111	29888	29840	29867	29038	27887
Avipro-OO-D10-4	13563	12605	12534	12553	11898	10611
Avipro-OO-D10-5	40359	37027	36953	36989	35713	33723
Avipro-OO-D10-6	21505	20042	19971	20006	19354	17647
Avipro-OO-D10-7	30076	27896	27843	27857	27239	26213
Avipro-OO-D10-8	77272	72673	72467	72553	70050	64051
Avipro-OO-D10-9	26705	25260	25182	25218	24264	22342
Avipro-OO-D14-1	39064	37084	36994	37032	36103	33718
Avipro-OO-D14-10	25055	23701	23612	23649	22975	21557
Avipro-OO-D14-11	25536	24123	24053	24089	23375	21965
Avipro-OO-D14-12	29483	27827	27728	27764	26888	24591
Avipro-OO-D14-2	32553	30909	30856	30871	30024	27804
Avipro-OO-D14-3	60769	57422	57275	57342	55664	52290
Avipro-OO-D14-4	27935	26360	26313	26333	25806	25286
