Turkey ID#	Room	Vaccine	Challenge?	Day (T= )	Sample type	Culture media/test	Sample weight (g)	"PBS 
(mL)"	Dilution (x-fold)	Plating Vol (mL)	# Sal. Col.	"# Sal. Col. 
in 1 g"	Dilution factor	CFU/g	Log10(CFU/g)	Log10(CFU/g+1)	Pos/Neg call	ChromeAgar Pos/Neg call	Notes
1	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
2	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
3	3C9	mock	SX 500	10	CC	XLT4stramp	1	2	1	0.1	1	1	0.05	20	1.301029996	1.322219295	Positive	CA +	
4	3C9	mock	SX 500	10	CC	XLT4stramp	1	2	1	0.1	1	1	0.05	20	1.301029996	1.322219295	Positive	CA +	
5	3C9	mock	SX 500	10	CC	XLT4stramp	1	2	1	0.1	13	13	0.05	260	2.414973348	2.416640507	Positive	CA +	
6	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
7	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
8	3C9	mock	SX 500	10	CC	XLT4stramp	1	2	10	0.1	40	40	0.005	8000	3.903089987	3.90314427	Positive	CA +	
9	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
10	3C9	mock	SX 500	10	CC	XLT4stramp	1	2	1	0.1	8	8	0.05	160	2.204119983	2.206825876	Positive	CA +	background
11	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
12	3C9	mock	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
13	3C9	mock	SX 500	10	CC	XLT4stramp	1	2	1	0.1	10	10	0.05	200	2.301029996	2.303196057	Positive	CA +	background
1	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	2	2	0.005	400	2.602059991	2.603144373			
2	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	3	3	0.005	600	2.77815125	2.778874472			
3	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	2	2	0.005	400	2.602059991	2.603144373			
4	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	1	1	0.005	200	2.301029996	2.303196057			
5	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	36	36	0.005	7200	3.857332496	3.857392811	Positive	CA +	
6	3C10	866 (SB 358)	SX 500	10	CC	T/Rnovo/Xstramp	1	2	enrich.	0.1						1.322219295	Positive	CA +	
7	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	1	0.1	1	1	0.05	20	1.301029996	1.322219295	Positive	CA +	
8	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	6	6	0.005	1200	3.079181246	3.079543007			
9	3C10	866 (SB 358)	SX 500	10	CC	XLT4stramp	1	2	10	0.1	14	14	0.005	2800	3.447158031	3.447313109			
